Module,Pattern,Role,Signal
cva6,DoS,payload,debug_req_i
cva6,DoS,payload,noc_req_o
cva6,DoS,payload,noc_req_t
cva6,Integrity,trigger,boot_addr_i
cva6,Leak,trigger,debug_req_i
cva6,Leak,payload,boot_addr_i
cva6,Privilege,trigger,boot_addr_i
cva6_fifo_v3,Covert,trigger,data_i
cva6_fifo_v3,Covert,trigger,data_o
cva6_fifo_v3,Covert,payload,data_i
cva6_fifo_v3,Covert,payload,data_o
cva6_fifo_v3,Integrity,trigger,data_i
cva6_fifo_v3,Integrity,trigger,data_o
cva6_fifo_v3,Integrity,payload,data_i
cva6_fifo_v3,Integrity,payload,data_o
cva6_fifo_v3,Leak,payload,data_i
cva6_fifo_v3,Leak,payload,data_o
cva6_hpdcache_if_adapter,Availability,trigger,ariane_pkg::amo_req_t
cva6_hpdcache_if_adapter,Availability,trigger,cva6_amo_req_i
cva6_hpdcache_if_adapter,Availability,trigger,cva6_req_i
cva6_hpdcache_if_adapter,Availability,trigger,cva6_req_o
